Trial,Time,Parameter,Threshold,Actual_Value,Expected_Alert,Actual_Alert,Status
1,1:30 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
2,1:40 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
3,1:50 PM,Temperature,> 30 C,33.25 C,High Temp,High Temp,Pass
4,2:00 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
5,2:10 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
6,2:20 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
7,2:30 PM,Temperature,> 30 C,33.50 C,High Temp,High Temp,Pass
8,2:40 PM,Temperature,> 30 C,33.50 C,High Temp,High Temp,Pass
9,2:50 PM,Temperature,> 30 C,33.25 C,High Temp,High Temp,Pass
10,3:00 PM,Temperature,> 30 C,33.25 C,High Temp,High Temp,Pass
11,3:10 PM,Temperature,> 30 C,33.25 C,High Temp,High Temp,Pass
12,3:20 PM,Temperature,> 30 C,33.25 C,High Temp,High Temp,Pass
13,3:30 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
14,3:40 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
15,3:50 PM,Temperature,> 30 C,32.75 C,High Temp,High Temp,Pass
16,4:00 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
17,4:10 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
18,4:20 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
19,4:30 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
20,4:40 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
21,4:50 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
22,5:00 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
23,5:10 PM,Temperature,> 30 C,33.00 C,High Temp,High Temp,Pass
24,5:20 PM,Temperature,> 30 C,32.75 C,High Temp,High Temp,Pass
25,5:30 PM,Temperature,> 30 C,32.75 C,High Temp,High Temp,Pass
26,5:40 PM,Temperature,> 30 C,32.50 C,High Temp,High Temp,Pass
27,5:50 PM,Temperature,> 30 C,32.50 C,High Temp,High Temp,Pass
28,6:00 PM,Temperature,> 30 C,32.50 C,High Temp,High Temp,Pass
29,6:10 PM,Temperature,> 30 C,32.25 C,High Temp,High Temp,Pass
30,6:20 PM,Temperature,> 30 C,32.25 C,High Temp,High Temp,Pass
31,6:30 PM,Temperature,> 30 C,32.25 C,High Temp,High Temp,Pass
32,6:40 PM,Temperature,> 30 C,32.25 C,High Temp,High Temp,Pass
33,6:50 PM,Temperature,> 30 C,32.00 C,High Temp,High Temp,Pass
34,7:00 PM,Temperature,> 30 C,32.00 C,High Temp,High Temp,Pass
