Trial,Date,Time,Parameter,Threshold,Actual_Value,Expected_Alert,Actual_Alert,AirTemp_C,Humidity_pct,Rainfall_mm,WindSpeed_kmh,Weather_Condition,Status
1,2026-04-28,1:30 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,31.7,57,0.10,12.6,Light Drizzle,Pass
2,2026-04-28,1:40 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,31.7,57,0.10,12.6,Light Drizzle,Pass
3,2026-04-28,1:50 PM,Temperature,> 32.0 C,33.25 C,Critically high water temperature (33.25°C).,Critically high water temperature (33.25°C).,31.7,57,0.10,12.6,Light Drizzle,Pass
4,2026-04-28,2:00 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,33.2,49,0.00,9.3,Overcast,Pass
5,2026-04-28,2:10 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,33.2,49,0.00,9.3,Overcast,Pass
6,2026-04-28,2:20 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,33.2,49,0.00,9.3,Overcast,Pass
7,2026-04-28,2:30 PM,Temperature,> 32.0 C,33.50 C,Critically high water temperature (33.50°C).,Critically high water temperature (33.50°C).,33.2,49,0.00,9.3,Overcast,Pass
8,2026-04-28,2:40 PM,Temperature,> 32.0 C,33.50 C,Critically high water temperature (33.50°C).,Critically high water temperature (33.50°C).,33.2,49,0.00,9.3,Overcast,Pass
9,2026-04-28,2:50 PM,Temperature,> 32.0 C,33.25 C,Critically high water temperature (33.25°C).,Critically high water temperature (33.25°C).,33.2,49,0.00,9.3,Overcast,Pass
10,2026-04-28,3:00 PM,Temperature,> 32.0 C,33.25 C,Critically high water temperature (33.25°C).,Critically high water temperature (33.25°C).,33.0,49,0.00,10.2,Overcast,Pass
11,2026-04-28,3:10 PM,Temperature,> 32.0 C,33.25 C,Critically high water temperature (33.25°C).,Critically high water temperature (33.25°C).,33.0,49,0.00,10.2,Overcast,Pass
12,2026-04-28,3:20 PM,Temperature,> 32.0 C,33.25 C,Critically high water temperature (33.25°C).,Critically high water temperature (33.25°C).,33.0,49,0.00,10.2,Overcast,Pass
13,2026-04-28,3:30 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,33.0,49,0.00,10.2,Overcast,Pass
14,2026-04-28,3:40 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,33.0,49,0.00,10.2,Overcast,Pass
15,2026-04-28,3:50 PM,Temperature,> 32.0 C,32.75 C,Critically high water temperature (32.75°C).,Critically high water temperature (32.75°C).,33.0,49,0.00,10.2,Overcast,Pass
16,2026-04-28,4:00 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,32.3,50,0.00,12.4,Overcast,Pass
17,2026-04-28,4:10 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,32.3,50,0.00,12.4,Overcast,Pass
18,2026-04-28,4:20 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,32.3,50,0.00,12.4,Overcast,Pass
19,2026-04-28,4:30 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,32.3,50,0.00,12.4,Overcast,Pass
20,2026-04-28,4:40 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,32.3,50,0.00,12.4,Overcast,Pass
21,2026-04-28,4:50 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,32.3,50,0.00,12.4,Overcast,Pass
22,2026-04-28,5:00 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,31.6,53,0.00,13.9,Overcast,Pass
23,2026-04-28,5:10 PM,Temperature,> 32.0 C,33.00 C,Critically high water temperature (33.00°C).,Critically high water temperature (33.00°C).,31.6,53,0.00,13.9,Overcast,Pass
24,2026-04-28,5:20 PM,Temperature,> 32.0 C,32.75 C,Critically high water temperature (32.75°C).,Critically high water temperature (32.75°C).,31.6,53,0.00,13.9,Overcast,Pass
25,2026-04-28,5:30 PM,Temperature,> 32.0 C,32.75 C,Critically high water temperature (32.75°C).,Critically high water temperature (32.75°C).,31.6,53,0.00,13.9,Overcast,Pass
26,2026-04-28,5:40 PM,Temperature,> 32.0 C,32.50 C,Critically high water temperature (32.50°C).,Critically high water temperature (32.50°C).,31.6,53,0.00,13.9,Overcast,Pass
27,2026-04-28,5:50 PM,Temperature,> 32.0 C,32.50 C,Critically high water temperature (32.50°C).,Critically high water temperature (32.50°C).,31.6,53,0.00,13.9,Overcast,Pass
